,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
2193,He9ql3gdTno,UC8XyIeqZjIbKF2fiDqGfoqQ,"Es globalista, como el PP y el PSOE, son perros de la misma camada.
Yo no miro lo de Borbón, solo veo la institución y hoy está vendiendo al pueblo con la nula defensa de Felipe VI ""el Manso""",[0. 0. 0. ... 0. 0. 0.],globalista psoe perro misma camada miro borb solo instituci vendiendo pueblo nula defensa felip manso,-1.0
2195,He9ql3gdTno,UCblPoEX-xXcI4ucZn06YmWQ,"Los españoles tienen el ejemplo de Estados Unidos, Francia o Suiza. Son buenos ejemplos de ""República"".
Es la peor 'Dinastía"" que reinó sobre España.
Los Borbones la peor Casa Monarquica que reinó sobre España.",[0. 0. 0. ... 0. 0. 0.],espa ole ejemplo unido francia suiza bueno ejemplo blica peor dinast rein espa borbon peor casa monarquica rein espa,-1.0
2197,He9ql3gdTno,UCPWDnTym1veJjOtLHlhUfwg,"La Monarquía es una institución antidemocrática en su esencia, y creo que es un debate que se debe abordar, pero no es el momento, debilitaría mas al Estado frente a los separatistas y nazionalistas que quieren destruir España",[0. 0. 0. ... 0. 0. 0.],monarqu instituci antidemocr tica esencia creo debat debe abordar momento debilitar frent separatista nazionalista quieren destruir espa,-1.0
2198,He9ql3gdTno,UCPWDnTym1veJjOtLHlhUfwg,"Lo increible es que con lo que has estudiado pienses que el comunismo es bueno cuando no hay un solo pais en el mundo que lo haya aplicado y no haya fracasado estrepitosamente convirtiendose en una dictadura  con pobreza extrema y pasando por miles o millones de muertos (Camboya, China, Cuba, Korea del Norte, URSS, etc)",[0. 0. 0. ... 0. 0. 0.],increibl estudiado piens comunismo bueno solo pai mundo aplicado fracasado estrepitosament convirtiendos dictadura pobreza extrema pasando mile millon muerto camboya china cuba korea nort urss,-1.0
2200,He9ql3gdTno,UCBY9Jef0lwR5kZDx3kNDQHQ,Borbones=Ladrones,[0. 0. 0. ... 0. 0. 0.],borbon ladron,-1.0
2206,He9ql3gdTno,UC2TqMdkzQHqQsWOzFLsEPTw,Y este Rey está demostrando ser una lacra,[0. 0. 0. ... 0. 0. 0.],demostrando lacra,-1.0
2211,3U3g5qfaS44,UCrIbJrnJlI99SUVyhy0D_LQ,"Mafianistán del atado y bien atado.
https://youtu.be/ottps7naaQI
https://youtu.be/iEihv2wnUzg
Más de lo mismo.
https://youtu.be/Wvp2mi1ZA-w
https://youtu.be/t-2fAX2AaOU
Abajo los Borbones!
Fin de la Monarquía corrupta!
Con una cortina de humo no se soluciona el atado y bien atado.
""A dios rogando y con el mazo dando"".
Sacrificio siempre de la Ciudadanía mientras ellos junto a poderes fácticos, minoritarias élites económicas y diversos lacayos siempre a buen recaudo, repartiéndose el cortijo nauseabundo y podrido.
Exhibiendose como muñecos de feria para fotos y cortinas de humo, intentando frenar la verdad sobre su anacrónica y corrupta Monarquía.
Los Borbones del atado y bien atado:
https://youtu.be/jLGGuaPzdfM
https://www.nuevatribuna.es/opinion/antonio-seoane/pandemia-franquista-segunda-transicion-desmontar-franquismo/20200609172731175929.html
Que razón tiene Teresa Rodríguez:
https://www.diariodesevilla.es/andalucia/Teresa-Rodriguez-expropiar-nobleza_0_1470153240.html

https://youtu.be/nTs3LDTNyg4

https://youtu.be/lscA6lj2RXA",[0. 0. 0. ... 0. 0. 0.],mafianist atado bien atado http youtu ottp naaqi http youtu ieihv wnuzg mismo http youtu http youtu aaou abajo borbon monarqu corrupta cortina humo soluciona atado bien atado dio rogando mazo dando sacrificio siempr ciudadan mientra junto poder ctico minoritaria lite econ mica diverso lacayo siempr buen recaudo reparti ndose cortijo nauseabundo podrido exhibiendos eco feria foto cortina humo intentando frenar verdad anacr nica corrupta monarqu borbon atado bien atado http youtu jlgguapzdfm http nuevatribuna opinion antonio seoan pandemia franquista segunda transicion desmontar franquismo html teresa rodr guez http diariodesevilla andalucia teresa rodriguez expropiar nobleza html http youtu ldtnyg http youtu lsca,-1.0
2212,P_beV0FrELg,UCMc8HjwGGa1VegITV12lk7A,"Que curioso, a USA la veo en la misma decadencia, así como a España la rodearon desde todo flanco, igualito veo a USA en plena estanflación mundial haciendo (soterradamente) guerras en 5 flancos, y eso que el USD es divisa mundial lo que más o menos reduce la inflación, pero, que pena, igual que España: a USA también se le acusa de ser un ""imperio malo, abusivo y cruel"", la leyenda negra está sobre todo imperio hegemónico por sus competidores. Hasta Inglaterra tiene sus detractores y odiadores que logró que UK caiga como 1 fuerza mundial. Y así..... sigue la rueda avanzante de la historia.",[0. 0. 0. ... 0. 0. 0.],curioso misma decadencia espa rodearon flanco igualito plena estanflaci mundial haciendo soterradament guerra flanco divisa mundial meno reduc inflaci pena igual espa tambi acusa imperio malo abusivo cruel leyenda negra imperio hegem nico competidor inglaterra detractor odiador logr caiga fuerza mundial sigu rueda avanzant historia,-1.0
2214,P_beV0FrELg,UCs2oZJPtqtsyM0MOU_BJe6w,Carlos I de España y V de Alemania que puto amo,[0. 0. 0. ... 0. 0. 0.],carlo espa alemania puto,-1.0
2218,P_beV0FrELg,UC5uGIeLTcAkZ3_vo7sFKq5A,Fuera las monarquías y fuera la agenda 2030,[0. 0. 0. ... 0. 0. 0.],monarqu agenda,-1.0
2226,P_beV0FrELg,UCGXan6Y7iOWO8p0azaH_XTQ,Navarra nunca fue tomada por Aragón......... fue' la conquista por parte de Fernando dentro de una guerra civil.,[0. 0. 0. ... 0. 0. 0.],navarra nunca tomada arag conquista part fernando dentro guerra civil,-1.0
2231,P_beV0FrELg,UCA0-vcs5cH1Nu-ZO-dXuQeQ,"Hahahaha un humilde indito de raza pura humilló a un relegado Hasburgo que estuvo siempre en un segundo plano, como virrey de Lombardía-Veneto y luego los fifis del siglo 19 (traidores que siempre prefirieron lo extranjero y nostálgicos del Mexico virreynal) lo engañaron miserablemente haciéndole creer que Mexico lo necesitaba con los brazos abiertos, pero desde que llegó fue un paulatino desencanto , vio demasiada resistencia aunque llegó a la CDMX y se instaló en un castillo su gobierno de opereta siempre fue hostilízado, cambió sus generosos ofrecimientos por ejecuciones a todo aquel que se le opusiera, hasta que un mal día decidió Napoleón 3o retirarse , y aquí si el señor este de la barba larga y de chivo se derrumbó siendo capturado escondido en Querétaro uno de los estados más conservadores y mochos junto a Aguascalientes y Juárez no le perdonó la vida, lo tronaron en el cerro de las campanas, fue una verdadera tragedia lo que padeció 
Pero los que mal quedaron fueron estos perfumaditos pseudoaristócratas que pensaron que con un emperador exteajero y de opereta seguirían su vida happy pisoteando a la gran mayoría del resto de los mexicanos",[0. 0. 0. ... 0. 0. 0.],hahahaha humild indito raza pura humil relegado hasburgo siempr segundo plano virrey lombard veneto luego fifi siglo traidor siempr prefirieron extranjero nost lgico mexico virreyn enga aron miserablement haci ndole creer mexico necesitaba brazo abierto lleg paulatino desencanto demasiada resistencia aunqu lleg cdmx instal castillo gobierno opereta siempr hostil zado cambi generoso ofrecimiento ejecucion aquel opusiera decidi napol retirars barba larga chivo derrumb siendo capturado escondido quer taro conservador mocho junto aguascalient perdon vida tronaron cerro campana verdadera tragedia padeci quedaron perfumadito pseudoarist crata pensaron emperador exteajero opereta seguir vida happi pisoteando gran mayor resto mexicano,-1.0
2237,zcpMe9kvgTk,UCR5RqYNjuUoQjmZK_Mq0Iyw,"Pienso...  que se arruinò la vida! Sì,  es verdad que vive rodeada de lujos y poder. Pero al mismo tiempo ha sido miy muy denostada por bo ser de sangre real. Ese sr. Peñafiel  la ataco horrores! 
Comparada con la familia real, sì que estaba mas preparada!   Ella podìa brillar con su luz propia. Ahora me parece. Con todo respeto. Un ser acartonado. Eternamente estresada.  Como si esa leticia de ojos enamorados hubiera muerto por ahi...",[0. 0. 0. ... 0. 0. 0.],pienso arruin vida verdad vive rodeada lujo poder mismo tiempo sido denostada sangr real afiel ataco horror comparada familia real preparada brillar propia ahora parec respeto acartonado eternament estresada leticia ojo enamorado muerto,-1.0
2238,zcpMe9kvgTk,UCXje5tG3ToSxtpL05whjw7g,Las cirugias le han caido fatal.,[0. 0. 0. ... 0. 0. 0.],cirugia caido fatal,-1.0
2239,zcpMe9kvgTk,UCGJzUL_cSzd9f6BtBgGRGtw,"Era muy natural,ahora luce tan plástica,no estaba conforme con su aspecto del cual se enamoró Felipe, la dismorfia sino se trata, suele llevar a horribles consecuencias",[0. 0. 0. ... 0. 0. 0.],natur ahora luce stica conform aspecto enamor felip dismorfia sino trata suel llevar horribl consecuencia,-1.0
2240,zcpMe9kvgTk,UC-Q3an5cHR4tAbiCG4WnAeA,Para Tizia mi madre es una perra. Me dejó devastada en Marruecos. La odio. Tiene un corazón cruel.,[0. 0. 0. ... 0. 0. 0.],tizia madr perra devastada marrueco odio coraz cruel,-1.0
2243,zcpMe9kvgTk,UCNEEOMcTf3-0QUi2afnUXGg,Perdió toda naturalidad....,[0. 0. 0. ... 0. 0. 0.],perdi toda naturalidad,-1.0
2254,9WxR0chSWaQ,UCrmbuVKJ7pU2QssoC7-ieMQ,Tienes toda la razón Jaime le pese a quién le pese,[0. 0. 0. ... 0. 0. 0.],toda jaim pese pese,-1.0
2255,9WxR0chSWaQ,UCgVnoF8rcuqLNAwa0j_qE_w,Señor Peñafiel es que la verdad que cada vez que le veo en algún vídeo de estos me da me da muchísima pena a ver dónde ha caído por Dios deja hablar mal de todo el mundo y preocupes y un poco de lo que tenía en su casa o se le ha olvidado todo deje de insultar a la gente y de meterse con la realeza que no le han hecho nada al revés toda la vida le han dado de comer y deje de morder la mano que le da el trozo de pan por favor es insoportable maleducado y tiene tiene hasta malos aires cuando se le ve hablando,[0. 0. 0. ... 0. 0. 0.],afiel verdad cada much sima pena dio deja hablar mundo preocup casa olvidado deje insultar gent meters realeza hecho toda vida dado comer deje morder mano trozo favor insoport maleducado malo air hablando,-1.0
2259,6JUjBvgMA3U,UCmXZa-ye_-sZ4kseygf59EQ,Que ridiculez!!!!!!!!!!,[0. 0. 0. ... 0. 0. 0.],ridiculez,-1.0
2262,6JUjBvgMA3U,UCmSjo9AdCLQgyUBWP8CwOyQ,"Reyes que como """"ladillas""""  que viven apegadas s los huevos humanos..",[0. 0. 0. ... 0. 0. 0.],rey ladilla viven apegada huevo humano,-1.0
2263,6JUjBvgMA3U,UCMyQ3dVZ4JrG_uW2_3lpEzA,Aaaaaaa Encarta Los BALORES DE LOS LADRONES....,[0.         0.         0.53464276 ... 0.         0.         0.        ],aaaaaaa encarta balor ladron,-1.0
2265,6JUjBvgMA3U,UCMyQ3dVZ4JrG_uW2_3lpEzA,"En que a trabajado que a echo Para ser monastic....
Si en mi pais tiene millones de mis jobenes  son normals y son juapos y tiene muchisimas Cosa que contar ...por que ver solo a esta que no es Madredura.",[0. 0. 0. ... 0. 0. 0.],trabajado echo monast pai millon joben normal juapo muchisima cosa contar solo madredura,-1.0
2267,6JUjBvgMA3U,UCMyQ3dVZ4JrG_uW2_3lpEzA,A pues que a America  ni Benjas .por favor  fuera a Los Borbon .fuera saca Las Uñas de America  y no ay problema ........,[0. 0. 0. ... 0. 0. 0.],pue america benja favor borbon saca america problema,-1.0
2276,6JUjBvgMA3U,UCYDZ7QV-8AdxG0DsbZFf_4w,Telefónica debe impuestos en Perú que no paga. Repsol contaminó el mar y... los pescadores tuvieron un paro por no tener dónde pescar y...,[0. 0. 0. ... 0. 0. 0.],telef nica debe impuesto paga repsol contamin pescador paro tener pescar,-1.0
2277,6JUjBvgMA3U,UCMtWjTkZftDAiHP8dJYK2Ow,"Es que los miserables buscan otros mas miserables para sentirse mejor, sus criticas sin principios es un asco",[0. 0. 0. ... 0. 0. 0.],miser buscan miser sentirs mejor critica principio asco,-1.0
2289,crO4FzMVzCY,UCcIGLZKiwtADf_f_2sJtsbA,"esta más duro que pan de hace 3 días, pero igual gracias por toda la explicación master!!!",[0. 0. 0. ... 0. 0. 0.],duro hace igual gracia toda explicaci master,-1.0
2295,crO4FzMVzCY,UCDigcAVPkzWd8BBcEpJ70xg,Muy bien pero la cara  meda miedo,[0. 0. 0. ... 0. 0. 0.],bien cara meda miedo,-1.0
2297,crO4FzMVzCY,UCpssgdEVLLdDuos1ilkf9Bg,Dale laki si estas biendo esto pra una tarea en cuarentena,[0. 0. 0. ... 0. 0. 0.],dale laki biendo tarea cuarentena,-1.0
2305,uvNnQozoPzc,UC19Qnck-agIAqs11RGCZ4Sw,"No estoy de acuerdo con la señora Morales, de hecho a Carlos III muchas veces le tuvieron que jalar las orejas por dar su opinión. Por otro lado a día de hoy la monarquía británica solo es un florero.",[0. 0. 0. ... 0. 0. 0.],acuerdo moral hecho carlo mucha vece jalar oreja opini lado monarqu brit nica solo florero,-1.0
2306,uvNnQozoPzc,UC90i2JFbrbMs6STe12RYJLg,Es un anacronismo. No democratico. Personajes de farandula.,[0. 0. 0. ... 0. 0. 0.],anacronismo democratico personaj farandula,-1.0
2308,HA5vLwzQlSY,UCbBhbwxdwf8FD6HZkCfm38Q,"No entiendo para quien es una sorpresa que la izquierda quiere eliminar la Monarquia!? La sorpresa son los espanoles que a pesar de la impresionante herencia cultural, religiosa y espiritual, tiran todo el sacrificio de generaciones, porque asi le sale de los ""cojones"". Deliquentes hay por todos los lados...entregarle todo el futuro  por una promesa de aumento de sueldo o de pension...o porque el obrero se siente mas representado por Sanchez, que por el Senor Rey Felipe, me parece una involucion dramatica!",[0. 0. 0. ... 0. 0. 0.],entiendo sorpresa izquierda quier eliminar monarquia sorpresa espanol pesar impresionant herencia cultur religiosa espiritu tiran sacrificio generacion sale cojon deliquent lado entregarl futuro promesa aumento sueldo pension obrero representado sanchez senor felip parec involucion dramatica,-1.0
2310,HA5vLwzQlSY,UCjuXI4wB4CFhGm2RVMQSjaQ,"Quiero mi España con mi Monarquia, vivan nuestros Reyes y no a los que nos la quieren quitar.",[0. 0. 0. ... 0. 0. 0.],quiero espa monarquia vivan rey quieren quitar,-1.0
2311,HA5vLwzQlSY,UCd5pqZE_h4iRKmvztI2nEuA,La Monarquía es mil veces mejor que esté gobierno miserable y su oscurantismo chupate esa Sánchez viva España y viva el Rey 👏👌💚💖🇪🇦,[0. 0. 0. ... 0. 0. 0.],monarqu vece mejor gobierno miser oscurantismo chupat nchez viva espa viva,-1.0
2313,HA5vLwzQlSY,UCd5pqZE_h4iRKmvztI2nEuA,Me parece estupendo que lo haya hecho a ver si el señor Iglesias y su pareja también hacen lo mismo u dicen de dónde han amasado su patrimonio si como dice está pagando hipoteca y demás y sobre este nefasto presidente nada que opinar que ojalá se vaya pronto para bien de España,[0. 0. 0. ... 0. 0. 0.],parec estupendo hecho iglesia pareja tambi hacen mismo dicen amasado patrimonio dice pagando hipoteca nefasto president opinar ojal vaya pronto bien espa,-1.0
2314,HA5vLwzQlSY,UCJMMp_YFKjurvemQ5XCWGiw,Por eso es tan dúctil y sumiso a los socialcomunistas? No me lo creo.,[0. 0. 0. ... 0. 0. 0.],ctil sumiso socialcomunista creo,-1.0
2317,HA5vLwzQlSY,UC7VNgWlDeDdOYkxywE9GIxQ,Y todo gracias a la izquierda que son quien han presionado para que se sepa la verdad.,[0. 0. 0. ... 0. 0. 0.],gracia izquierda presionado sepa verdad,-1.0
2320,HA5vLwzQlSY,UCW9ttNTHaPH_1RqJJo16I6A,MILLONES DE SANTOS DE ESPAÑA NO VAN A DEJAR A LOS IZQUIERDISTAS🇪🇸🤬,[0. 0. 0. ... 0. 0. 0.],millon santo espa dejar izquierdista,-1.0
2322,HV7KMXkEm6c,UCoutAJBFvnwMqyjEt9kMA8Q,"Alberto, te he admirado desde hace mucho tiempo y que gusto que estes subiendo contenido a YouTube... peropor favor tu la cortinilla musical, es pesima, por favor cambiala! Saludos!",[0. 0. 0. ... 0. 0. 0.],alberto admirado hace tiempo gusto est subiendo contenido youtub peropor favor cortinilla music pesima favor cambiala saludo,-1.0
2324,HV7KMXkEm6c,UCiFUEm43C0Gsag6C0f1gnCw,Para mi la mejor forma de gobierno es la monarquía a pesar de ser mexicano sin embargo creo que S.M. Don Juan Carlos cometió un error en no seguir reinando con el legado que Franco le había dejado,[0. 0. 0. ... 0. 0. 0.],mejor forma gobierno monarqu pesar mexicano embargo creo juan carlo cometi error seguir reinando legado franco dejado,-1.0
2330,xhtFBJ6kbIM,UC-GhMAk1UV5-MQRMPZAc7LQ,"Mentirosos. La monarquía trajo la pobreza a este país. ¿Que creéis? El Rey es un PERJURO. Y, parta colmo, trajo toda esta podredumbre",[0. 0. 0. ... 0. 0. 0.],mentiroso monarqu trajo pobreza perjuro parta colmo trajo toda podredumbr,-1.0
2332,EemzZxSxdlI,UCDRCp3TzPsoJMllFHOKiqyQ,La gente vivia tranquila  habia injusticias como ahora solo los comunistas no tenian futuro la seguridad era  real  y los abusis de autoridad de kas fuerzas  de seguridad lo pagaban con  justicia,[0. 0. 0. ... 0. 0. 0.],gent vivia tranquila habia injusticia ahora solo comunista tenian futuro seguridad real abusi autoridad fuerza seguridad pagaban justicia,-1.0
2333,EemzZxSxdlI,UCXRF4jvGKE-xTcOoPci0cRA,"Que otra quiere la estúpida. Si España venía saliendo de una horrible guerra civil donde la barbarie comunista superó  todo lo imaginable, que hoy el marxismo y el PSOE tratan de ocultar",[0. 0. 0. ... 0. 0. 0.],quier pida espa saliendo horribl guerra civil barbari comunista super imagin marxismo psoe tratan ocultar,-1.0
2334,EemzZxSxdlI,UCRhalzHyarj6Qrit-9Fiy1g,"La ruina y el hambre de post guerra fue por culpa del psoe que prefirió regalarle todas las reservas de oro a los soviéticos antes que dejarlas en España y así hacer sufrir al pueblo español.
  El socialismo es una ideología malvada y ruin.",[0. 0. 0. ... 0. 0. 0.],ruina hambr post guerra culpa psoe prefiri regalarl toda reserva sovi tico dejarla espa hacer sufrir pueblo espa socialismo ideolog malvada ruin,-1.0
2335,EemzZxSxdlI,UCRhalzHyarj6Qrit-9Fiy1g,"Documental sectario y falso.
   El golpe de estado lo dió el frente popular, documentalmente probado   mal que le pese al psoe.
    Lo que hubo fue un alzamiento militar.
 Ya está hien de cambiar los hechos y blanquear un gobierno ilegal.
     🤮",[0. 0. 0. ... 0. 0. 0.],document sectario falso golp frent popular documentalment probado pese psoe alzamiento militar hien cambiar hecho blanquear gobierno ileg,-1.0
2336,EemzZxSxdlI,UCPwVqYY217cP6ID0IPo3jxg,El más grande Asesino que España a tenido franco,[0. 0. 0. ... 0. 0. 0.],grand asesino espa franco,-1.0
2337,EemzZxSxdlI,UCDafE4XgZ-aJMjDp-ryJXxw,Puto franquismo de 💩menos mau que ya no existe bueno apenas existe como vox,[0. 0. 0. ... 0. 0. 0.],puto franquismo meno exist bueno apena exist,-1.0
2341,EemzZxSxdlI,UCZqVpg7E-hEZEuCPheP8BeA,Que regrese Franco para poner en orden a esos zurdos traidores a su país,[0.         0.         0.         ... 0.48480929 0.         0.        ],regres franco poner orden zurdo traidor,-1.0
2342,EemzZxSxdlI,UCxC2HTH4V8uQYcFfPRE5cuw,"Voy a darte yo golpe de Estado, pero donde menos lo esperes, voy a darte yo sublevados, perros izquierdosos. ¿Quién acribilló al jefe de la oposición José Calvo Sotelo? Te lo digo yo, un sicario del PSOE. ¿Quién robó los 510.000 kg de oro del Banco de España para regalarsel0o a la URSS a cambio de chatarra? el partido comunista, lo que sumió a España en décadas de penurias económicas. ¿Quién declaró abiertamente la guerra, aparte del atentado contra el jefe de la oposición de la 2 república? Os lo digo yo, el semi analfabeto del PSOE (como de costumbre) Francisco Largo Caballero en varias ocasiones. ¿Quién amañó el pucherazo de las elecciones? el PSOE. Quién vuelve a dar un golpe de Estado en España en 2.023? los mismos de entonces, PSOE, comunistas, separatistas y todos los enemigos de España. ¿Quién acribilló a miles de presos inocentes, entre ellos 276 menores en Paracuellos y otros parajes a las afueras de Madrid? la extrema izquierda. Mira, dais un asco indescriptible, pero además mentís y contáis la historia como os da la gana y vista desde el prisma de la extrema izquierda. Aprovecho la ocasión para deciros que os estuvo bien empleado todo lo que pasó después. NO TENÉIS VERGÜENZA. A mi no me dais miedo perros, ni con un fusil en la mano. DMAX, qué asco de sitio.",[0. 0. 0. ... 0. 0. 0.],dart golp meno esper dart sublevado perro izquierdoso acribil jefe oposici calvo sotelo digo sicario psoe banco espa regalarsel urss cambio chatarra partido comunista sumi espa cada penuria econ mica declar abiertament guerra apart atentado jefe oposici blica digo semi analfabeto psoe costumbr francisco largo caballero varia ocasion pucherazo eleccion psoe vuelv golp espa mismo entonc psoe comunista separatista enemigo espa acribil mile preso inocent menor paracuello paraj afuera madrid extrema izquierda mira dai asco indescript adem ment cont historia gana vista prisma extrema izquierda aprovecho ocasi deciro bien empleado despu verg enza dai miedo perro fusil mano dmax asco sitio,-1.0
2343,EemzZxSxdlI,UCiAtK8mEnc514VemN0GAWEA,200.000 civiles asesinados durante la guerra y otros 200.000 civiles muertos de hambre... 😢 Es horrible.,[0. 0. 0. ... 0. 0. 0.],civil asesinado guerra civil muerto hambr horribl,-1.0
2347,EemzZxSxdlI,UCyvhwpGmHV18h18tdrkHVyQ,"Franco no pretendía implNtar una autarquía, se vio forzado a ello al verse rechazado por todos los paises vecinos y europa rn general, y estados unidos.",[0. 0. 0. ... 0. 0. 0.],franco pretend implntar autarqu forzado ello vers rechazado pais vecino europa gener unido,-1.0
2361,cnnj5PcrJRU,UCj7cPuTKNL_unmCvbEzTeMg,Porque España permite a estos corruptos todavía si debe ya haber una REPUBLICA ///tantos españoles sin viviendo y con sueldos miserables y el gobierno dando millonadas a estos holgazanes,[0. 0. 0. ... 0. 0. 0.],espa permit corrupto todav debe haber republica tanto espa ole viviendo sueldo miser gobierno dando millonada holgazan,-1.0
2367,WZX7Y9mdOV8,UCGqirMrD3HcwiKraE5_V0uw,"sigo diciendo lo mismo, último borbon de rey fue carlos lv, los demas no son borbones",[0. 0. 0. ... 0. 0. 0.],sigo diciendo mismo ltimo borbon carlo dema borbon,-1.0
2368,WZX7Y9mdOV8,UCQ5PVz1cSDuj6BYoR7DtWAg,Vaya porquería de video!    Comentan la historia como si fuera futbol.    Vaya pelados,[0. 0. 0. ... 0. 0. 0.],vaya porquer video comentan historia futbol vaya pelado,-1.0
2369,WZX7Y9mdOV8,UCV5BjSPQ48zVqU3snS_U-vg,"Los últimos borbones antes de las secesiónes, no eran independencias,  destrozaron el lindo imperio y por eso también las revueltas americanas",[0. 0. 0. ... 0. 0. 0.],ltimo borbon secesi independencia destrozaron lindo imperio tambi revuelta americana,-1.0
2371,WZX7Y9mdOV8,UC_lVF-XzmxDkZ9UEPm90BBA,No hubo 17 reinos!!! Te equivocaste!,[0. 0. 0. ... 0. 0. 0.],reino equivocast,-1.0
2373,WZX7Y9mdOV8,UC3aKKkW6oYRG2_ZH92DswKw,"Señor Zunzunegui, hay muchos errores en su relato.",[0. 0. 0. ... 0. 0. 0.],zunzunegui error relato,-1.0
2376,WZX7Y9mdOV8,UCGMIbORVihFh_y6WwAbIgjg,"Me gustan sus análisis, pero me resulta chirriante que siempre omita el golpe de estado de los socialistas españoles contra la Republica en 1934

Y eso de que muchos en España quiere la Republica lo lamento pero se equivoca usted. Muy poca gente quiere eso, la II Republica fue un desastre cainita",[0. 0. 0. ... 0. 0. 0.],gustan lisi resulta chirriant siempr omita golp socialista espa ole republica espa quier republica lamento equivoca ust poca gent quier republica desastr cainita,-1.0
2377,WZX7Y9mdOV8,UCiLjcKGkt6gRJ3--GzLPFLg,Eso es mentira en el último momento cambio de idea.....el primero era carlos no el puto borbó,[0. 0. 0. ... 0. 0. 0.],mentira ltimo momento cambio idea primero carlo puto borb,-1.0
2381,WZX7Y9mdOV8,UCk2MyrbEexBKXzVLAHjG3GA,Hay datos incorrectos el sentimiento republicano en España nunca ha superado el 20%. En españa hay partidos republicanos y no llegan a superar nunca ese umbral. Los votantes de derecha y centro derecha no quieren ni oir hablar de República... Por lo tanto es imposible sin guerra.,[0. 0. 0. ... 0. 0. 0.],dato incorrecto sentimiento republicano espa nunca superado espa partido republicano llegan superar nunca umbral votant derecha centro derecha quieren hablar blica impos guerra,-1.0
2384,9o2cSXzI2VQ,UCdKjy60X1ihm3nrCTlubvmA,"Madre mía... Lo del bienestar suyo. Viven en su puñetera burbuja, González, Zapatero y ahora Sánchez, en lo 3 casos la economía y macro hundida. Así que solo puedes presumir de nada.",[0. 0. 0. ... 0. 0. 0.],madr bienestar viven etera burbuja gonz zapatero ahora nchez caso econom macro hundida solo pued presumir,-1.0
2385,9o2cSXzI2VQ,UCkWnEq2CD3xGbkNgdxYBMbw,A mi no me parece ella nada relevante. Es puro dogma . Es un bloof,[0. 0. 0. ... 0. 0. 0.],parec relevant puro dogma bloof,-1.0
2392,QPnwSnNMZMY,UCcoI3_ICC1I3zEjgLZUhHVA,jajaja lo que no entendí jamás es porque no se cargaron a napoleón la primera vez en vez de desterrarlo...,[0. 0. 0. ... 0. 0. 0.],jajaja entend cargaron napol primera desterrarlo,-1.0
2395,QPnwSnNMZMY,UCHHicndoqnjP6The3fN7Ulg,El mayor genocida y espoliador de los pueblos europeos,[0. 0. 0. ... 0. 0. 0.],mayor genocida espoliador pueblo europeo,-1.0
2396,QPnwSnNMZMY,UCj_xOa0J0kU7dWfo08GDe_A,"Qué pena , la película de Ridley Scott no explota nada todo esto , ni su infancia ni la complejidad de su vida… ni siquiera menciona la guerra de independencia española. Un desastre de película",[0. 0. 0. ... 0. 0. 0.],pena cula ridley scott explota infancia complejidad vida siquiera menciona guerra independencia espa desastr cula,-1.0
2397,QPnwSnNMZMY,UCI8fCjOcsVMls5Eg-PhWHxQ,Mis dos grandes errores tb fueron una rusa y una española...,[0. 0. 0. ... 0. 0. 0.],grand error rusa espa,-1.0
2406,R5fkkdmXmc8,UCIj_mil80Id_ALDIfBuuo_g,Familia de Mafiosos!!,[0. 0. 0. ... 0. 0. 0.],familia mafioso,-1.0
