,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
498,sp-9ftIoYBQ,UCCbtChNHDsCLX13hB4K1Kkg,Y SI ERES COLEGA DE UN NARCO?,[0. 0. 0. ... 0. 0. 0.],colega narco,0.0
501,sp-9ftIoYBQ,UC4hXN9fA00n0oLst4GBUVxQ,"Pero que bien se le da el enredo.
Una pregunta.
¿De verdad es amigo de un narco? 😮",[0. 0. 0. ... 0. 0. 0.],bien enredo pregunta verdad amigo narco,0.0
504,sp-9ftIoYBQ,UCM23sMx0uIova3v9AFdjI3Q,Este tipo no sabe ni lo que dice y quiere ser Presidente si sale presidente que bajo habremos caído en este País,[0. 0. 0. ... 0. 0. 0.],tipo sabe dice quier president sale president bajo,0.0
512,N1HfL5qkcI4,UC-agn9AgdAj7A7N6VNqAxSA,Lo que no se cuenta  https://www.youtube.com/watch?v=t4pFx-EjEBs,[0. 0. 0. ... 0. 0. 0.],cuenta http youtub watch ejeb,0.0
513,N1HfL5qkcI4,UCk7KUq_3XAvD4_Uo4Xotcqw,"Que pedazo de vídeo, mis dieces 👌",[0. 0. 0. ... 0. 0. 0.],pedazo diec,0.0
515,N1HfL5qkcI4,UCGqCsWCWABkRTBMAKFpPGBQ,A ver no pasa nada por qué los hombres y las mujeres sean amigos bueno si ellos quieren,[0. 0. 0. ... 0. 0. 0.],pasa hombr mujer amigo bueno quieren,0.0
516,N1HfL5qkcI4,UCMV_ZmrzMmyLHCocVTLQKpA,La solucion me desconecto el implante coclear y listo no quiero oír ruidos horrorosos ese pequeño tiene una buena ventaja,[0. 0. 0. ... 0. 0. 0.],solucion desconecto implant coclear listo quiero ruido horroroso pequ buena ventaja,0.0
519,N1HfL5qkcI4,UCdbbeb_qjniumw8kjQl1gaA,Entonces qué se les puede decir a estas tipas sin que se ofendan?,[0. 0. 0. ... 0. 0. 0.],entonc pued decir tipa ofendan,0.0
521,N1HfL5qkcI4,UC0eDBiPlTU4qJnE3gGvvK-A,"La violencia no tiene género, no todos los hombres actuamos así",[0. 0. 0. ... 0. 0. 0.],violencia nero hombr actuamo,0.0
523,N1HfL5qkcI4,UCa5lMJtxM32S_HHhiqB7SEw,"Haber esa gente q dice que feminismo es que queremos ser superior al hombre,no amigos FEMINISMO ES IGUALDA PARA TODOS LOS GENEROS..SI NO SABEIS NO COMENTEIS A LO LOCO",[0. 0. 0. ... 0. 0. 0.],haber gent dice feminismo queremo superior hombr amigo feminismo igualda genero sabei comentei loco,0.0
526,N1HfL5qkcI4,UC2yDNIr-6-ZkhkXwb58PjvA,A mi también me han obligado mis padres a dar un beso y no creo que sea normal que un niño tire a una niña. No se en que colegio español se toma eso a la ligera...,[0. 0. 0. ... 0. 0. 0.],tambi obligado padr beso creo normal tire colegio espa toma ligera,0.0
527,N1HfL5qkcI4,UC4dY_a-g8VV4bFLK3nuQnnQ,Eso es muchísimo,[0. 0. 0. ... 0. 0. 0.],much simo,0.0
528,1eukcg88-jU,UC0XAaTgpXs8qZeSiKKCClFg,Adolescentes? Todos piensan así. Solo hace falta preguntarle en persona a gente de tu barrio,[0. 0. 0. ... 0. 0. 0.],adolescent piensan solo hace falta preguntarl persona gent barrio,0.0
529,1eukcg88-jU,UCL9kUQGtmQ_2e8W6373LrBQ,"Si los hombre comienzan a ver la verdad, y si no las quieren ellas lo tendrán mas difícil porque las mujeres; no pueden enamorar tíos, y ellos no desean que ellas se acerquen a ellos. Vale que el feminismo actual les ha jodido todo a las chicas. Si para que ellas corran a los brazos de las lesbianas. Y que les gusten cosas que no les gustan. Ya les quito el matrimonio, ya nadie en su sano juicio siendo hombre ofrecera matrimonio, a menos que sea un Chad",[0. 0. 0. ... 0. 0. 0.],hombr comienzan verdad quieren tendr mujer pueden enamorar desean acerquen vale feminismo actual jodido chica corran brazo lesbiana gusten cosa gustan quito matrimonio nadi sano juicio siendo hombr ofrecera matrimonio meno chad,0.0
532,1eukcg88-jU,UCVRgMW88IsKcou8eoX1eJUw,Esta mujer no es muy lista,[0. 0. 0. ... 0. 0. 0.],mujer lista,0.0
533,1eukcg88-jU,UCVRgMW88IsKcou8eoX1eJUw,"No lo creen, es un hecho",[0. 0. 0. ... 0. 0. 0.],creen hecho,0.0
535,1eukcg88-jU,UCO627GI5Rfse18M8cQ2qH_Q,“Segun los expertos” = no tengo idea,[0. 0. 0. ... 0. 0. 0.],segun experto idea,0.0
539,1eukcg88-jU,UCPECgrhwnPaaUJbNjr7gn7Q,Peinate,[0. 0. 0. ... 0. 0. 0.],peinat,0.0
540,1eukcg88-jU,UCS4Lf8TEnYvSOiawzzorZqQ,"EL FEMINISMO ES UN MOVIMIENTO CONSTRUCTIVO O ES UN MOVIMIENTO DESTRUCTIVO? NO REPITAMOS COMO PERICOS LO QUE NOS DICEN SIN SABER SI ES VERDAD O MENTIRA, APRENDAMOS A VER Y OBSERVAR, APRENDAMOS A ANALIZAR, A SER CRITICOS Y A SACAR NUESTRAS PROPIAS CONCLUSIONES, PARA CONOCER REALMENTE SI UNA PERSONA ES CONSTRUCTIVA O DESTRUCTIVA NO LE CREAS LO QUE TE DICE CREE EN LO QUE REALMENTE HACE, HECHOS NO PALABRAS, YA QUE ENTENDIMOS ESO, SAQUEMOS NUESTRAS PROPIAS CONCLUSIONES AL ANALIZAR LO QUE DICE EL FEMINISMO Y LO QUE REALMENTE HACE EL FEMINISMO. 
EL FEMINISMO DICE QUE BUSCA LA IGUALDAD ENTRE EL HOMBRE Y LA MUJER Y LO QUE REALMENTE HACE ES LEGISLAR LUGARES EXCLUSIVOS PARA LAS MUJERES EN TODOS LOS AMBITOS DE LA SOCIEDAD, LA PALABRA EXCLUSIVO VIENE DE EXCLUIR (:QUE ES UNICO Y ELIMINA A LOS DEMAS) Y TODO LO QUE ES EXCLUSIVO PARA LAS MUJERES EXCLUYE A LOS HOMBRES Y ESO NO ES IGUALDAD, ES SUPREMACIA. 
ENTONCES ANALICEMOS CON EL RAZONAMIENTO Y NO CON LA EMOCIONALIDAD LO SIGUIENTE: 
EL FEMINISMO BUSCA LA IGUALDAD ENTRE HOMBRES Y MUJERES? O ES MENTIRA Y ES UN ENGAÑO? 
EL FEMINISMO PROMUEVE LA UNION ENTRE HOMBRES Y MUJERES? O PROMUEVE EL ODIO Y LA DIVISION?
ENTONCES EL FEMINISMO ES UN MOVIMIENTO CONSTRUCTIVO? O ES UN MOVIMIENTO DESTRUCTIVO?
APRENDAMOS A NO DEJARNOS ENGAÑAR, NO CREAMOS EN LO QUE DICEN SINO REALMENTE EN LO QUE HACEN",[0. 0. 0. ... 0. 0. 0.],feminismo movimiento constructivo movimiento destructivo repitamo perico dicen saber verdad mentira aprendamo observar aprendamo analizar critico sacar propia conclusion conoc realment persona constructiva destructiva crea dice cree realment hace hecho palabra entendimo saquemo propia conclusion analizar dice feminismo realment hace feminismo feminismo dice busca igualdad hombr mujer realment hace legislar lugar exclusivo mujer ambito sociedad palabra exclusivo vien excluir unico elimina dema exclusivo mujer excluy hombr igualdad supremacia entonc analicemo razonamiento emocionalidad siguient feminismo busca igualdad hombr mujer mentira enga feminismo promuev union hombr mujer promuev odio divis entonc feminismo movimiento constructivo movimiento destructivo aprendamo dejarno enga creamo dicen sino realment hacen,0.0
542,1eukcg88-jU,UCZmZW_IDsaRvRNVILD_fgwQ,"Féminazis, nada más",[0. 0. 0. ... 0. 0. 0.],minazi,0.0
544,1eukcg88-jU,UCyrjkb1JMNdWdYOWUVCgv_A,Debiste decir los adolescentes SABEN no creen,[0. 0. 0. ... 0. 0. 0.],debist decir adolescent saben creen,0.0
545,1eukcg88-jU,UCAhH_RmuBKMH1GEcbxw4ZJA,Si que va encontrá dela igualdad no está bien con esas ideas divides ala gente en dos grupos porque un hombre sea estúpido no significa que tengamos que pagar todos siempre culpan en general castigo colectivo val entonces una mujer nunca a roto  un plato si un hombre es malo  una mujer es capaz de ser el doble de mala solo los hombres tenemos la culpa? Yo estuve con una mujer que me pegaba  yo la amaba ino me iva  sean cambiado las tornas  ino os dais cuenta si  a una mujer quieres hacerle el amor  ellas pueden decir que no si un hombre prueba decir que no... Ya verás lo que pasa.... el hombre lo tenemos crudo para todo la mujer ama por condiciones el hombre ama incondicional mente cuando un hombre tiene dinero piensa en la familia cuando una mujer tiene dinero piensa en la independencia porque ya no le haces falta  los hombres no nos ponemos en huelga porque sería devolver la pelota y entrar en vuestro juego quien manda en casa la mujer quien manda en la cama la mujer sino  les aces caso te cambian igual que cambian de camiseta todas las mujeres están cortadas por la misma tijera cada hombre es un mundo y una caja de solpresas no todos somos iguales no todos somos estúpidos las mujeres mayores de verdad reconocen que el peligro es una mujer.,[0. 0. 0. ... 0. 0. 0.],encontr dela igualdad bien idea divid gent grupo hombr pido significa pagar siempr culpan gener castigo colectivo entonc mujer nunca roto plato hombr malo mujer capaz dobl mala solo hombr culpa mujer pegaba amaba cambiado torna dai cuenta mujer quier hacerl amor pueden decir hombr prueba decir pasa hombr crudo mujer condicion hombr incondicion ment hombr dinero piensa familia mujer dinero piensa independencia hace falta hombr ponemo huelga devolv pelota entrar juego manda casa mujer manda cama mujer sino ace caso cambian igual cambian camiseta toda mujer cortada misma tijera cada hombr mundo caja solpresa igual pido mujer mayor verdad reconocen peligro mujer,0.0
547,1eukcg88-jU,UCu4lyavuZVr5stGucLIRAkA,"Hoy hay que tener sexo con contratos...
¿Que más veremos más adelante?",[0. 0. 0. ... 0. 0. 0.],tener sexo contrato veremo adelant,0.0
550,ibN_nQDuWUE,UCdqpRCMCqDDXuPP8TZSvyBA,"Tiene muy poco volumen, ay les encargo  ese detalle para los prox videos.",[0. 0. 0. ... 0. 0. 0.],volumen encargo detal prox video,0.0
554,ibN_nQDuWUE,UCp2Xu8FLb9M0ESGgTzdjvmw,"Muchas gracias por la explicación. Es un tema complejo y evolutivo en los últimos 25 años y que cuesta de entender por esa sucesión continuada de cambios legislativos. Me toca realizar una actividad docente sobre el tema y esta explicación me ha ayudado por su simplicidad y claridad, fuera de explicaciones pura y simplemente normativas. Gracias",[0. 0. 0. ... 0. 0. 0.],mucha gracia explicaci tema complejo evolutivo ltimo cuesta entend sucesi continuada cambio legislativo toca realizar actividad docent tema explicaci ayudado simplicidad claridad explicacion pura simplement normativa gracia,0.0
555,ibN_nQDuWUE,UCLz6PkF48ycgum41jk0viUw,"Si la ley fuera justa defendería a personas indiferentemente de su sexo, edad, relación que los una, etc. La ley de violencia de genero da por echo que el hombre por el mero echo de ser hombre es violento, dominante y muchas mas cosas, lo cual hace que las leyes actuales sean poco objetivas. Lo único que debería existir es una ley que nos defienda a todos por igual sin importar vínculos, sexo o cualquier otra variante. Por que al fin y la cabo la violencia es violencia venga de donde venga.",[0. 0. 0. ... 0. 0. 0.],justa defend persona indiferentement sexo edad relaci violencia genero echo hombr mero echo hombr violento dominant mucha cosa hace ley actual objetiva nico deber existir defienda igual importar nculo sexo cualquier variant cabo violencia violencia venga venga,0.0
559,ibN_nQDuWUE,UCtMUC0ztuj9dyBWXUrdlYNQ,perdona no puedo esta de acuerdo,[0. 0. 0. ... 0. 0. 0.],perdona puedo acuerdo,0.0
562,ibN_nQDuWUE,UCD1xo_-V2hCXMNWRaIDZndQ,La diferencia está en la desigualdad,[0. 0. 0. ... 0. 0. 0.],diferencia desigualdad,0.0
567,ZrFOC8GXXO4,UCWpBYQF-ZuL6FQ05OIL9Yzg,"Enlace a mi nuevo canal secundario para gaming y demás contenido:
@UCUgJtJHFkTfh3aYJL2s85fg",[0. 0. 0. ... 0. 0. 0.],enlac nuevo canal secundario game contenido ucugjtjhfktfh ayjl,0.0
569,ZrFOC8GXXO4,UCb3ph5yag7XxTo1M0MRfmeQ,no tienen que argumentar esas tipas,[0. 0. 0. ... 0. 0. 0.],argumentar tipa,0.0
571,ZrFOC8GXXO4,UCUqYlvlEZlpuVoEnxwtBUtQ,Que manera de haber betas y simp fefendiendo feministas,[0. 0. 0. ... 0. 0. 0.],manera haber beta simp fefendiendo feminista,0.0
574,ZrFOC8GXXO4,UCMN0W9c_8uojk-ZC39Z5ehw,Feministas de 💩💩💩💩,[0. 0. 0. ... 0. 0. 0.],feminista,0.0
576,ZrFOC8GXXO4,UCjlTfXhSD69DexvV54xugdg,"Por la misma razón que no contratan personas obesas para pintar o de electricista, siempre en todo tipo de trabajo buscan personas capaces de realizar con eficacia la labor...........",[0. 0. 0. ... 0. 0. 0.],misma contratan persona obesa pintar electricista siempr tipo trabajo buscan persona capac realizar eficacia labor,0.0
578,ZrFOC8GXXO4,UCBYlES3Ta-MvksyG10otyyQ,12:19 INCREIBLE HAHAHAHAHAHAHAHAHAHAH,[0. 0. 0. ... 0. 0. 0.],increibl hahahahahahahahahahah,0.0
582,ZrFOC8GXXO4,UC46icQT3msi5yezoGzDgxhQ,Literalmente que derechos porque hablan sobre los derechos y despues andan bailando canciones de s3x0 y después critican alos hombres,[0. 0. 0. ... 0. 0. 0.],literalment derecho hablan derecho despu andan bailando cancion despu critican alo hombr,0.0
583,ZrFOC8GXXO4,UC2kW6cSAjwrpPAjAnpwt94A,"Con la apariencia de la persona, uno ya deduce que van a contestar.",[0. 0. 0. ... 0. 0. 0.],apariencia persona deduc contestar,0.0
584,ZrFOC8GXXO4,UC0wwweq9qe3Tflk540FcIRg,4:09 esa chica confunde definiciones pero fuera de eso todo bien,[0. 0. 0. ... 0. 0. 0.],chica confund definicion bien,0.0
588,AGmajzsEOjo,UCowOu-hBaDAofynjawedpaw,"Los hombres NO pueden ser feministas (y nadie espera que lo sean), porque el feminismo es un movimiento de mujeres y para mujeres. De nada. 😂",[0. 0. 0. ... 0. 0. 0.],hombr pueden feminista nadi espera feminismo movimiento mujer mujer,0.0
589,AGmajzsEOjo,UCs3FKbII6TEYQWcxedVahbA,SI NO LA PUSO CON ESTO SEÑOR YA ES MISIÓN IMPOSIBLE 😂,[0. 0. 0. ... 0. 0. 0.],puso misi impos,0.0
590,AGmajzsEOjo,UCi4GJztrIcJhp1qFXGGdBIw,"Los soldados ucranianos a los que el gobierne prohíbe salir del país y obliga a ir al campo de batalla son muy privilegiados, la verdad. Pobres mujeres, que tienen la libertad de huir de la guerra.",[0. 0. 0. ... 0. 0. 0.],soldado ucraniano gobiern proh salir obliga campo batalla privilegiado verdad pobr mujer libertad huir guerra,0.0
591,AGmajzsEOjo,UC_9MMc6KU8YmsziXvv8VDcQ,"Para formarse una opinión sobre el feminismo es necesario antes preguntarse qué somos, a dónde vamos y de dónde venimos. Preguntas muy básicas y de índole metafísica, pero cuya respuesta nos permitirá enjuiciar en qué tipo de civilización vivimos, es decir, si está orientada con los principios metafísicos o si está en pugna con ellos (como es el caso de la civilización actual, pues estamos en el kali yuga). Sin responder o tratar de responder estas cuestiones previas, no se puede entender bien cómo el feminismo es un producto de una civilización enferma. La igualdad no existe en la Naturaleza, existe la evolución y la jerarquía, y ello no es contrario a que existe el Amor como base de todo a la vez. Ir contra natura sólo genera dolor",[0. 0. 0. ... 0. 0. 0.],formars opini feminismo necesario preguntars vamo venimo pregunta sica ndole metaf sica cuya respuesta permitir enjuiciar tipo civilizaci vivimo decir orientada principio metaf sico pugna caso civilizaci actual pue kali yuga respond tratar respond cuestion previa pued entend bien feminismo producto civilizaci enferma igualdad exist naturaleza exist evoluci jerarqu ello contrario exist amor base natura genera dolor,0.0
593,AGmajzsEOjo,UCxYKhVFszqzVg5mVWyWZyxg,"Igualdad ? Eres español, realmente tienes igualdad ante la ley? Quizás calladito te veas más bonito...",[0. 0. 0. ... 0. 0. 0.],igualdad espa realment igualdad quiz calladito vea bonito,0.0
596,AGmajzsEOjo,UCELOasn_zdC2zZ-qaJV_cSw,"De verdad adelantaste a tu padre??? Eres mecánico o sabes de carros?? Sabes de fontanería?? Sabes lo básico al menos de electricista?? Sabes tapar goteras supongo, no no sabes nada de eso y te puedo apostar que tu padre si, porque los padres de antes sabían hacer todo eso, así que muy adelantado no estabas, deja de minimizar los conocimientos de tu padre que tú no eres ni fuiste mejor, por aprender a barrer y cosas de cocina porque hay muchas cosas que no sabes y pagas por ellas y tu padre no pago un centavo.",[0. 0. 0. ... 0. 0. 0.],verdad adelantast padr nico sabe carro sabe fontan sabe sico meno electricista sabe tapar gotera supongo sabe puedo apostar padr padr hacer adelantado deja minimizar conocimiento padr mejor aprend barrer cosa cocina mucha cosa sabe paga padr pago centavo,0.0
598,AGmajzsEOjo,UCmKXYeufc0FR2znUcCcBJMw,"Pero feminismo es precisa y principalmente una actitud, así que no importa tanto si se tengan comportamientos machistas involuntarios o no conscientes. La cuestión para mi es si estás a favor o no de la igualdad de oportunidades entre hombres y mujeres. Lo demás, se va corrigiendo.",[0. 0. 0. ... 0. 0. 0.],feminismo precisa principalment actitud importa comportamiento machista involuntario conscient cuesti favor igualdad oportunidad hombr mujer corrigiendo,0.0
602,AGmajzsEOjo,UCcYyyRpUqK-Y7WYKt2mX8_w,otro planchabragas que no comprende los factores bio-evolutivos y la sexo-congruencia natural y social....así va Occidente jajaj ¿quien te va a hacer caso a tí diciendo esas gilipolleces ? jajajaja,[0. 0. 0. ... 0. 0. 0.],planchabraga comprend factor evolutivo sexo congruencia natur social occident jajaj hacer caso diciendo gilipollec jajajaja,0.0
604,AGmajzsEOjo,UCDGp1F0zEzDz96s-0a28_oQ,"Simplemente digo, que estoy hasta los huevos del feminismo",[0. 0. 0. ... 0. 0. 0.],simplement digo huevo feminismo,0.0
605,AGmajzsEOjo,UChAPktEwPxuzoCOfxr7VesQ,lo mejor es soltero,[0. 0. 0. ... 0. 0. 0.],mejor soltero,0.0
610,XSLEuXR-lOQ,UCzB5aWtxSMhud7em-JOkt3g,España es un circo ... hahahaha,[0. 0. 0. ... 0. 0. 0.],espa circo hahahaha,0.0
611,XSLEuXR-lOQ,UC8LWXveYkSKVr5R3kY25KYA,"Nuestro gobierno está poniendo a tantas familias en situaciones difíciles, usted me ha ayudado mucho a mí y a mi familia, Sra. Gwen Roberts, imagínese invertir $ 1,000 y recibir $ 5,200 en unos días.",[0. 0. 0. ... 0. 0. 0.],gobierno poniendo tanta familia situacion cile ust ayudado familia gwen robert imag nese invertir recibir,0.0
613,XSLEuXR-lOQ,UCtrgDXjKSAic7uG3jEQGOCw,Ya sabemos de donde heredado la politica los latinoamericanos❤❤❤,[0. 0. 0. ... 0. 0. 0.],sabemo heredado politica latinoamericano,0.0
618,XSLEuXR-lOQ,UC9pk6za94uMGHrA3NskBCPg,efectivamente esto es españa,[0. 0. 0. ... 0. 0. 0.],efectivament espa,0.0
620,XSLEuXR-lOQ,UCsEnDc_NxTW2kKOzx_HfUtA,Mejor del gran hermano 😂,[0. 0. 0. ... 0. 0. 0.],mejor gran hermano,0.0
625,XSLEuXR-lOQ,UCZdaxAbb8IrVw_LjZMKOTBQ,Pais bananero,[0. 0. 0. ... 0. 0. 0.],pai bananero,0.0
629,IGtQDo-Aw0k,UCyk5TvUVCmh5vSxiZ2NPkQg,"Que la recluten en la Legión, que haga la mili como un buen español, 😊 musulmana hay países acorde con tu forma de vivir, y cállese coño",[0. 0. 0. ... 0. 0. 0.],recluten legi haga mili buen espa musulmana acord forma vivir llese,0.0
631,IGtQDo-Aw0k,UC6FM8Z4q6rGoL39uQ7jviHg,"Ser patriota no es solamente levantarse temprano y pagar impuestos. También hay que respetar los símbolos, tradiciones, cultura y fronteras del país, y no hacer sentir a un español extraño en España.",[0. 0. 0. ... 0. 0. 0.],patriota solament levantars temprano pagar impuesto tambi respetar mbolo tradicion cultura frontera hacer sentir espa extra espa,0.0
632,IGtQDo-Aw0k,UC0lnJL6VpMrUztzEtEpKovA,"La señora diversa que no respeta las opiniones que no están de acuerdo con ella. Y dice que no tiene ""puñetera"" idea y manda a callar. Muy integradora la señora del trapo en el cogote",[0. 0. 0. ... 0. 0. 0.],diversa respeta opinion acuerdo dice etera idea manda callar integradora trapo cogot,0.0
636,IGtQDo-Aw0k,UCch4QClIjnGvi-dDBL10aFg,Muy tarde España. Ustedes los dejaron entrar y ahora los van a sacar de su propio país. Disfruten lo votado.,[0. 0. 0. ... 0. 0. 0.],tard espa usted dejaron entrar ahora sacar propio disfruten votado,0.0
637,IGtQDo-Aw0k,UCx5EAxNDThZdH-PgYIz9Mng,Eso es mentira!!!,[0. 0. 0. ... 0. 0. 0.],mentira,0.0
640,IGtQDo-Aw0k,UCNk1pYHAqLZESuG1iPbDRaQ,Tu de española no tienes nada pañuelitos,[0. 0. 0. ... 0. 0. 0.],espa uelito,0.0
641,IGtQDo-Aw0k,UC_47VTO3YIpcWu-zs_uAN8g,A ver si en Marruecos podemos construir iglesias.,[0. 0. 0. ... 0. 0. 0.],marrueco podemo construir iglesia,0.0
642,IGtQDo-Aw0k,UC6NhbxrNOA-AjFJDdczuq0w,Cuidado no se vaya a explotar la mujercite!!!!,[0. 0. 0. ... 0. 0. 0.],cuidado vaya explotar mujercit,0.0
643,IGtQDo-Aw0k,UCC353N8ph5TXUI1nEz1AynA,Y estas en España quita la pañoleta por respeto a una cultura distinta a la tuya,[0. 0. 0. ... 0. 0. 0.],espa quita oleta respeto cultura distinta,0.0
644,IGtQDo-Aw0k,UCC353N8ph5TXUI1nEz1AynA,Habrá cristianos en el gobierno de Marruecos? Pues. A callar eh,[0. 0. 0. ... 0. 0. 0.],habr cristiano gobierno marrueco pue callar,0.0
649,DvII9fNFWAU,UC5dSLGfbOXPN_BHggsjaRXg,No existe el sexo sin género...ni género sin sexo. No existe.,[0. 0. 0. ... 0. 0. 0.],exist sexo nero nero sexo exist,0.0
655,DvII9fNFWAU,UCVYZfhJC-ZV_bmnOdtQjJrQ,Nadie podra destruir la perfecta creacion d Dios!!!!!,[0. 0. 0. ... 0. 0. 0.],nadi podra destruir perfecta creacion dio,0.0
656,DvII9fNFWAU,UCmjt7dAMtS9DKreK34XOfAA,"Si a esto le sumamos lo que dijo Rockefeller en una entrevista que le hizo el señor Russo, respecto al feminismo, podemos entender quienes están detrás de todo esto y cuáles son los motivos que esconden detrás de estos dos movimientos.",[0. 0. 0. ... 0. 0. 0.],sumamo dijo rockefel entrevista hizo russo respecto feminismo podemo entend detr motivo esconden detr movimiento,0.0
662,DvII9fNFWAU,UCYN-wYvGZkcryCrYcN83Ndw,"Sin pelos en la lengua,mi primer ministra.ojala y tenga postura para mantener su mandato,abajo la agenda 3020",[0. 0. 0. ... 0. 0. 0.],pelo lengua primer ministra ojala postura manten mandato abajo agenda,0.0
663,DvII9fNFWAU,UCLlPQzyqkjucBksJjB43vog,Brava!,[0. 0. 0. ... 0. 0. 0.],brava,0.0
665,DvII9fNFWAU,UCy1teWXwr5y9DgmF4epwGaA,Lo unico que se es que solo se habla por arriba no se va a la yogular,[0. 0. 0. ... 0. 0. 0.],unico solo habla arriba yogular,0.0
666,SXSatQE4Fpk,UCWpBYQF-ZuL6FQ05OIL9Yzg,"ENLACE A Cyberghost
https://www.cyberghostvpn.com/RomaGallardo",[0. 0. 0. ... 0. 0. 0.],enlac cyberghost http cyberghostvpn romagallardo,0.0
668,SXSatQE4Fpk,UCxJqwGQFbV1qGeEGRybUtRg,Jajajaja que absurdo,[0. 0. 0. ... 0. 0. 0.],jajajaja absurdo,0.0
669,SXSatQE4Fpk,UCJN25BAIvJG0xPs0VYpcbDw,No entienden nada esas chicas. Bajemos la vara en todo para que todos podamos hacer todo. Que los autos de carrera sean más lentos así puedo correr yo también; o que los boxeadores peguen más suave así puedo ser campeón mundial….ridículo lo de estas chicas.,[0. 0. 0. ... 0. 0. 0.],entienden chica bajemo vara podamo hacer auto carrera lento puedo correr tambi boxeador peguen suav puedo camp mundial culo chica,0.0
671,SXSatQE4Fpk,UC0AGSrz3WH3l3IPUfRHjs_w,Ni para que busco videos de humor… ver estas entrevistas me divierten mucho! Jajajaja … no se de donde saca tanta paciencia él,[0. 0. 0. ... 0. 0. 0.],busco video humor entrevista divierten jajajaja saca tanta paciencia,0.0
673,SXSatQE4Fpk,UCK6fGStwDpmJXOXp6YovrEg,la paciencia de este hombre es admirable asl;kdjfk;alf,[0. 0. 0. ... 0. 0. 0.],paciencia hombr admir kdjfk,0.0
674,SXSatQE4Fpk,UCK6fGStwDpmJXOXp6YovrEg,porque todas dicen q tienen un ejemplo pero no quieren darselo ./.,[0. 0. 0. ... 0. 0. 0.],toda dicen ejemplo quieren darselo,0.0
678,SXSatQE4Fpk,UCydBVJ9rGLau_q46g-BB6Og,Tremenda paciencia.,[0. 0. 0. ... 0. 0. 0.],tremenda paciencia,0.0
679,SXSatQE4Fpk,UCb0CqWNaR-DI1J-O8xvlSYQ,"En nombre de las mujeres que utilizan su cerebro de una manera distinta, pido perdón.",[0. 0. 0. ... 0. 0. 0.],nombr mujer utilizan cerebro manera distinta pido perd,0.0
680,SXSatQE4Fpk,UCFZg-b7oCGB4xKlQ2mc6Fgw,Tremendo la ignorancia de esta nueva generación,[0. 0. 0. ... 0. 0. 0.],tremendo ignorancia nueva generaci,0.0
681,SXSatQE4Fpk,UCPvbHRKYdHbyUR4A2-HdKqQ,"Pero que jovencitas más necias , cuanta paciencia crack.",[0. 0. 0. ... 0. 0. 0.],jovencita necia cuanta paciencia crack,0.0
682,SXSatQE4Fpk,UCKrkrGrVUUGFjwtfuuPH6Og,"Los entrevistados en este caso, saben el resultado de 2+2..? Estás chicas no tienen solución",[0. 0. 0. ... 0. 0. 0.],entrevistado caso saben resultado chica soluci,0.0
684,SXSatQE4Fpk,UCqKBbYPn2UoFnuFznyg0PLw,Jajaja como me hiciste reir😅😅😅,[0. 0. 0. ... 0. 0. 0.],jajaja hicist reir,0.0
687,0KdmgUqM0C0,UCt82OBAOMgcv2r9_WgTVYYw,Saludos a Marta que no se calla,[0. 0. 0. ... 0. 0. 0.],saludo marta calla,0.0
688,0KdmgUqM0C0,UCt82OBAOMgcv2r9_WgTVYYw,pues que bueno,[0. 0. 0. ... 0. 0. 0.],pue bueno,0.0
692,0KdmgUqM0C0,UCD_VVhK2KudUCKSeDyXVc5w,Y si una alumna le propone hacerle una felacion al profesor a cambio de que le ponga un 10? Es violencia de genero de la mujer hacia el hombre?,[0. 0. 0. ... 0. 0. 0.],alumna propon hacerl felacion profesor cambio ponga violencia genero mujer hacia hombr,0.0
695,0KdmgUqM0C0,UCFRtRDD_sE9xuy9rTlTdJdg,Like me suscribo,[0. 0. 0. ... 0. 0. 0.],like suscribo,0.0
697,0KdmgUqM0C0,UCuvC9vbzQyaA0CsPKpth2Eg,Saludos porque NO son más claro y dejan de usar la palabra género y NO hablan abiertamente digo pos,[0. 0. 0. ... 0. 0. 0.],saludo claro dejan usar palabra nero hablan abiertament digo,0.0
698,0KdmgUqM0C0,UCXKcxun0XR_OVrzIOGEIahQ,Te has liado,[0. 0. 0. ... 0. 0. 0.],liado,0.0
700,0KdmgUqM0C0,UCKqLWjJQY3r0aW6x9NUzcrA,La violencia no tiene género.,[0. 0. 0. ... 0. 0. 0.],violencia nero,0.0
710,u3wsGtoXfes,UCWXnyd7J5HUb7wNzH1Vw3TA,Lo sabe quien lo vive.,[0. 0. 0. ... 0. 0. 0.],sabe vive,0.0
711,u3wsGtoXfes,UC0tJi6897Q_ve9M1AqB4RFw,No me creo ni una palabra: es todo teatro,[0. 0. 0. ... 0. 0. 0.],creo palabra teatro,0.0
713,u3wsGtoXfes,UCQe2UDb_SSZYm2fQT8jCVgQ,Doloroso más cuando no se tiene trabajo ni amigas ni a donde ir ..no estas en tu país ...así aguantar quien sabe hasta cuando ...hasta q encuentre. Q hacer de trabajo y salir,[0. 0. 0. ... 0. 0. 0.],doloroso trabajo amiga aguantar sabe encuentr hacer trabajo salir,0.0
714,u3wsGtoXfes,UCDl6pjgr-sb8QQQg8pXUZ-g,Casi le pregunto. Duvan,[0. 0. 0. ... 0. 0. 0.],casi pregunto duvan,0.0
